camera,frame,id,class_name,confidence,x_center,y_center
CAMERA_DEBUT_COULOIR_DROIT.mp4,50,23,person,0.42,367.1454,643.76636
CAMERA_DEBUT_COULOIR_DROIT.mp4,50,30,person,0.31,343.6062,641.0759
CAMERA_DEBUT_COULOIR_DROIT.mp4,51,8,person,0.4,391.46674,642.3143
CAMERA_DEBUT_COULOIR_DROIT.mp4,51,23,person,0.34,367.07895,643.9946
CAMERA_DEBUT_COULOIR_DROIT.mp4,51,30,person,0.27,343.55328,641.1094
CAMERA_DEBUT_COULOIR_DROIT.mp4,52,8,person,0.41,391.58698,642.2173
CAMERA_DEBUT_COULOIR_DROIT.mp4,52,23,person,0.35,367.17484,644.00146
CAMERA_DEBUT_COULOIR_DROIT.mp4,52,30,person,0.27,343.7561,640.94556
CAMERA_DEBUT_COULOIR_DROIT.mp4,53,8,person,0.42,391.78992,641.9695
CAMERA_DEBUT_COULOIR_DROIT.mp4,53,23,person,0.36,367.16104,643.99335
CAMERA_DEBUT_COULOIR_DROIT.mp4,54,8,person,0.41,391.85474,641.93976
CAMERA_DEBUT_COULOIR_DROIT.mp4,54,23,person,0.35,367.1385,643.8755
CAMERA_DEBUT_COULOIR_DROIT.mp4,55,8,person,0.47,391.82993,641.92395
CAMERA_DEBUT_COULOIR_DROIT.mp4,55,23,person,0.4,367.14722,643.7355
CAMERA_DEBUT_COULOIR_DROIT.mp4,55,30,person,0.26,343.6015,640.64343
CAMERA_DEBUT_COULOIR_DROIT.mp4,56,8,person,0.54,391.63394,641.57904
CAMERA_DEBUT_COULOIR_DROIT.mp4,56,23,person,0.45,366.9355,643.75476
CAMERA_DEBUT_COULOIR_DROIT.mp4,56,30,person,0.27,343.51068,640.7743
CAMERA_DEBUT_COULOIR_DROIT.mp4,57,8,person,0.55,391.53934,641.3388
CAMERA_DEBUT_COULOIR_DROIT.mp4,57,23,person,0.44,367.06213,643.6532
CAMERA_DEBUT_COULOIR_DROIT.mp4,58,8,person,0.59,391.45023,641.27856
CAMERA_DEBUT_COULOIR_DROIT.mp4,58,23,person,0.47,367.10846,643.47595
CAMERA_DEBUT_COULOIR_DROIT.mp4,58,30,person,0.26,343.6092,640.49396
CAMERA_DEBUT_COULOIR_DROIT.mp4,59,8,person,0.54,391.49805,641.1814
CAMERA_DEBUT_COULOIR_DROIT.mp4,59,23,person,0.41,367.17944,643.27686
CAMERA_DEBUT_COULOIR_DROIT.mp4,60,8,person,0.57,391.5202,641.1511
CAMERA_DEBUT_COULOIR_DROIT.mp4,60,23,person,0.4,368.3703,642.59357
CAMERA_DEBUT_COULOIR_DROIT.mp4,60,30,person,0.27,343.9004,640.1445
CAMERA_DEBUT_COULOIR_DROIT.mp4,61,8,person,0.54,391.54767,641.0409
CAMERA_DEBUT_COULOIR_DROIT.mp4,61,23,person,0.38,368.8655,642.1836
CAMERA_DEBUT_COULOIR_DROIT.mp4,62,8,person,0.57,391.49503,640.9275
CAMERA_DEBUT_COULOIR_DROIT.mp4,62,23,person,0.4,368.89655,641.8446
CAMERA_DEBUT_COULOIR_DROIT.mp4,62,30,person,0.28,343.9375,639.88293
CAMERA_DEBUT_COULOIR_DROIT.mp4,63,8,person,0.51,391.39233,641.1382
CAMERA_DEBUT_COULOIR_DROIT.mp4,63,23,person,0.32,368.9208,641.8897
CAMERA_DEBUT_COULOIR_DROIT.mp4,64,8,person,0.55,391.14355,641.0392
CAMERA_DEBUT_COULOIR_DROIT.mp4,64,23,person,0.31,368.80014,641.95624
CAMERA_DEBUT_COULOIR_DROIT.mp4,65,8,person,0.54,390.90396,641.251
CAMERA_DEBUT_COULOIR_DROIT.mp4,65,23,person,0.29,368.44666,641.5808
CAMERA_DEBUT_COULOIR_DROIT.mp4,66,8,person,0.55,390.5725,641.49036
CAMERA_DEBUT_COULOIR_DROIT.mp4,66,23,person,0.31,367.89636,641.728
CAMERA_DEBUT_COULOIR_DROIT.mp4,67,8,person,0.54,390.39984,641.74585
CAMERA_DEBUT_COULOIR_DROIT.mp4,67,23,person,0.36,367.4698,641.7289
CAMERA_DEBUT_COULOIR_DROIT.mp4,68,8,person,0.57,389.95468,641.86975
CAMERA_DEBUT_COULOIR_DROIT.mp4,68,23,person,0.45,366.8548,641.68536
CAMERA_DEBUT_COULOIR_DROIT.mp4,68,30,person,0.27,342.02118,640.8965
CAMERA_DEBUT_COULOIR_DROIT.mp4,69,8,person,0.52,389.42694,641.9734
CAMERA_DEBUT_COULOIR_DROIT.mp4,69,23,person,0.46,366.26566,641.6826
CAMERA_DEBUT_COULOIR_DROIT.mp4,69,30,person,0.29,341.76242,640.8123
CAMERA_DEBUT_COULOIR_DROIT.mp4,70,8,person,0.43,389.11673,642.21704
CAMERA_DEBUT_COULOIR_DROIT.mp4,70,23,person,0.42,365.91565,641.4915
CAMERA_DEBUT_COULOIR_DROIT.mp4,71,8,person,0.41,388.44464,642.56287
CAMERA_DEBUT_COULOIR_DROIT.mp4,71,23,person,0.34,365.57867,641.55414
CAMERA_DEBUT_COULOIR_DROIT.mp4,72,8,person,0.39,388.1471,642.7477
CAMERA_DEBUT_COULOIR_DROIT.mp4,72,23,person,0.32,365.43762,641.6666
CAMERA_DEBUT_COULOIR_DROIT.mp4,73,8,person,0.38,387.75348,643.3094
CAMERA_DEBUT_COULOIR_DROIT.mp4,73,23,person,0.35,365.3885,641.7366
CAMERA_DEBUT_COULOIR_DROIT.mp4,74,8,person,0.46,387.2829,643.53723
CAMERA_DEBUT_COULOIR_DROIT.mp4,74,23,person,0.42,365.24066,641.7602
CAMERA_DEBUT_COULOIR_DROIT.mp4,74,30,person,0.25,341.9079,640.9866
CAMERA_DEBUT_COULOIR_DROIT.mp4,75,8,person,0.43,386.9018,643.63245
CAMERA_DEBUT_COULOIR_DROIT.mp4,75,23,person,0.37,365.11365,641.8262
CAMERA_DEBUT_COULOIR_DROIT.mp4,76,8,person,0.42,387.03302,643.8905
CAMERA_DEBUT_COULOIR_DROIT.mp4,76,23,person,0.4,365.16138,641.95465
CAMERA_DEBUT_COULOIR_DROIT.mp4,76,30,person,0.27,342.00598,640.9138
CAMERA_DEBUT_COULOIR_DROIT.mp4,77,8,person,0.52,387.11676,643.7976
CAMERA_DEBUT_COULOIR_DROIT.mp4,77,23,person,0.45,365.14935,642.16516
CAMERA_DEBUT_COULOIR_DROIT.mp4,77,30,person,0.28,342.90283,641.29266
CAMERA_DEBUT_COULOIR_DROIT.mp4,78,8,person,0.51,387.01953,643.941
CAMERA_DEBUT_COULOIR_DROIT.mp4,78,23,person,0.47,365.13776,642.3227
CAMERA_DEBUT_COULOIR_DROIT.mp4,78,30,person,0.32,342.3012,641.3242
CAMERA_DEBUT_COULOIR_DROIT.mp4,79,8,person,0.5,386.37018,643.902
CAMERA_DEBUT_COULOIR_DROIT.mp4,79,23,person,0.41,364.6886,642.11
CAMERA_DEBUT_COULOIR_DROIT.mp4,79,30,person,0.28,341.90265,641.0417
CAMERA_DEBUT_COULOIR_DROIT.mp4,80,8,person,0.5,385.7936,643.68994
CAMERA_DEBUT_COULOIR_DROIT.mp4,80,23,person,0.42,364.4827,642.00415
CAMERA_DEBUT_COULOIR_DROIT.mp4,80,30,person,0.3,341.70966,641.1536
CAMERA_DEBUT_COULOIR_DROIT.mp4,81,8,person,0.37,385.26074,643.69385
CAMERA_DEBUT_COULOIR_DROIT.mp4,81,23,person,0.36,364.48764,641.6491
CAMERA_DEBUT_COULOIR_DROIT.mp4,81,30,person,0.32,341.7158,641.3573
CAMERA_DEBUT_COULOIR_DROIT.mp4,82,8,person,0.28,386.00238,643.64276
CAMERA_DEBUT_COULOIR_DROIT.mp4,82,23,person,0.3,364.7915,641.2744
CAMERA_DEBUT_COULOIR_DROIT.mp4,82,30,person,0.3,342.04987,641.599
CAMERA_DEBUT_COULOIR_DROIT.mp4,83,8,person,0.27,386.19257,643.5281
CAMERA_DEBUT_COULOIR_DROIT.mp4,83,23,person,0.31,364.8395,641.1605
CAMERA_DEBUT_COULOIR_DROIT.mp4,83,30,person,0.29,342.15765,641.7604
CAMERA_DEBUT_COULOIR_DROIT.mp4,84,23,person,0.3,364.77142,639.7421
CAMERA_DEBUT_COULOIR_DROIT.mp4,84,30,person,0.3,342.9107,641.4662
CAMERA_DEBUT_COULOIR_DROIT.mp4,85,30,person,0.3,343.15958,641.381
CAMERA_DEBUT_COULOIR_DROIT.mp4,86,30,person,0.28,343.30725,641.40216
